species;ID;replicate;num_seeds;weight
Dianthus langeanus;A00;1;50;75.34
Dianthus langeanus;A00;2;50;57.08
Dianthus langeanus;A00;3;50;56.25
Dianthus langeanus;A00;4;50;45.15
Dianthus langeanus;A00;5;50;40.71
Dianthus langeanus;A02;1;50;46.98
Dianthus langeanus;A02;2;50;57.24
Dianthus langeanus;A02;3;50;62.02
Dianthus langeanus;A02;4;50;75.98
Dianthus langeanus;A02;5;50;43.82
Dianthus langeanus;A11;1;50;64.05
Dianthus langeanus;A11;2;50;49.54
Dianthus langeanus;A11;3;50;37.43
Dianthus langeanus;A11;4;50;47.18
Dianthus langeanus;A11;5;50;38.93
Dianthus langeanus;B00;1;50;50.62
Dianthus langeanus;B00;2;50;35.15
Dianthus langeanus;B00;3;50;45.88
Dianthus langeanus;B00;4;50;65.9
Dianthus langeanus;B00;5;50;39.7
Dianthus langeanus;B03;1;50;55.83
Dianthus langeanus;B03;2;50;70.05
Dianthus langeanus;B03;3;50;36.5
Dianthus langeanus;B03;4;50;52.92
Dianthus langeanus;B03;5;50;40.95
Dianthus langeanus;B07;1;35;35
Dianthus langeanus;B07;2;50;70
Dianthus langeanus;B17;1;29;38.64
Dianthus langeanus;B17;2;50;53.42
Dianthus langeanus;B20;1;34;54.49
Dianthus langeanus;C00;1;50;58.35
Dianthus langeanus;C00;2;50;55.64
Dianthus langeanus;C00;3;50;44.58
Dianthus langeanus;C00;4;50;47.89
Dianthus langeanus;C00;5;50;73.2
Dianthus langeanus;C06;1;26;49.61
Dianthus langeanus;C19;1;50;41.5
Dianthus langeanus;C19;2;50;35.83
Dianthus langeanus;C19;3;50;51.75
Dianthus langeanus;C19;4;50;53.42
Dianthus langeanus;C19;5;50;66.15
Dianthus langeanus;D00;1;50;58.4
Dianthus langeanus;D00;2;50;56.07
Dianthus langeanus;D00;3;50;44.62
Dianthus langeanus;D00;4;50;46.82
Dianthus langeanus;D00;5;50;72.2
Dianthus langeanus;D12;1;50;53.11
Dianthus langeanus;D12;2;50;47.71
Dianthus langeanus;D12;3;50;70.51
Dianthus langeanus;D12;4;31;22.26
Dianthus langeanus;D19;1;50;74.83
Dianthus langeanus;D19;2;50;55.16
Dianthus langeanus;D19;3;50;57.22
Dianthus langeanus;D19;4;50;39.32
Dianthus langeanus;D19;5;50;41.95
Brassica incana;CAPR 22;1;50;89.15
Brassica incana;CAPR 22;2;50;86.6
Brassica incana;CAPR 22;3;50;107.45
Brassica incana;CAPR 22;4;29;54.4
Brassica incana;CHIU 17;1;18;51.48
Brassica incana;CORO 22;1;50;64.49
Brassica incana;CORO 22;2;24;31.22
Festuca fasciculata;Ff;1;50;96.18
Festuca fasciculata;Ff;2;50;97.02
Festuca fasciculata;Ff;3;50;93
Festuca fasciculata;Ff;4;50;93.63
Festuca fasciculata;Ff;5;50;95.52
Silene canescens;Sca;1;50;14.77
Silene canescens;Sca;2;50;13.12
Silene canescens;Sca;3;50;13.23
Silene canescens;Sca;4;50;13.28
Silene canescens;Sca;5;50;13.03
Silene conica;Sco;1;50;12.86
Silene conica;Sco;2;50;12.68
Silene conica;Sco;3;50;12.42
Silene conica;Sco;4;50;13.11
Silene conica;Sco;5;50;13.11
Dianthus langeanus;B19;1;50;39.92
Dianthus langeanus;B19;2;50;40.26
Dianthus langeanus;B19;3;50;35.88
Dianthus langeanus;B19;4;50;37.2
Dianthus langeanus;B19;5;50;40.65
Dianthus langeanus;C20;1;50;37.71
Dianthus langeanus;C20;2;50;38.09
Dianthus langeanus;C20;3;50;40.11
Dianthus langeanus;C20;4;50;37.46
Dianthus langeanus;C20;5;50;37.76
Dianthus langeanus;C18;1;50;38.2
Dianthus langeanus;C18;2;50;41.96
Dianthus langeanus;C18;3;50;40.73
Dianthus langeanus;C18;4;50;39.71
Dianthus langeanus;C18;5;50;41.87
Dianthus langeanus;D11;1;50;42.05
Dianthus langeanus;D11;2;50;42.24
Dianthus langeanus;D11;3;50;43.12
Dianthus langeanus;D11;4;50;40.92
Dianthus langeanus;D11;5;50;44.81
