"","Site","ID","bio1","bio2","bio7","Snw","FDD","GDD"
"1","Canada","B03",8.53610442980576,8.67786694210498,29.8491935483871,0,11.0833333333333,2380.34047619048
"2","Canada","B07",7.38465733531084,10.1731973717791,40.3201612903226,23,12.75,2078.20238095238
"3","Canada","B17",6.50364925674992,4.51878939562477,26.1870967741935,41,8.5,1833.33333333333
"4","Canada","B19",6.51249660918738,6.26662597691519,28.3064516129032,14,1.58333333333333,1775.83333333333
"5","Canada","B20",6.74649666857676,6.99979968122349,28.3678571428571,33,0,1860.21428571429
"6","Penouta","D11",6.60096999774419,5.30961538461538,25.5576923076923,31,12.1666666666667,1975.59523809524
"7","Penouta","D12",7.98412908775812,7.55708216514668,31.258064516129,6,4.16666666666667,2341.52619047619
"8","Penouta","D19",4.8270882343463,2.69321216417991,16.9032258064516,56,5,1375.27380952381
"9","Rabinalto","A02",7.87993002085049,6.14214675758057,28.2258064516129,19,0,2190.85238095238
"10","Rabinalto","A11",7.73432774431106,7.8939708141321,33.1782258064516,28,4.5,2190.28571428571
"11","Solana","C06",6.84016628532758,5.27366665592472,23.9032258064516,15,3.75,1951.94047619048
"12","Solana","C18",6.3902585765489,6.67656590721107,28.9516129032258,20,7,1896.90476190476
"13","Solana","C19",5.50958884305659,4.51065977033719,22.6935483870968,8,8.41666666666667,1595.75
"14","Solana","C20",6.46500211258276,7.50877885555305,27.9516129032258,16,6.25,1869.46428571429
"15","Penouta","D00",6.10599845921474,5.7694730810328,28.3689261290323,58,57.7933666666667,1793.59661666667
"16","Rabinalto","A00",5.96091959691063,5.63815800434827,31.8927298387097,73,93.9000333333333,1792.63168333333
"17","Solana","C00",7.25180946086906,8.88661885882009,34.161196699129,33,29.9542666211667,2028.74530055483
