"Site","ID","bio1","bio2","bio7","Snw","FDD","GDD"
"Canada","B01",6.7258814708342,3.88929341885404,21.8766129032258,1,0,1757.57142857143
"Canada","B02",7.03978372233378,3.46550496222354,21.8887096774194,2,0.25,1797.42857142857
"Canada","B03",8.53610442980576,8.67786694210498,29.8491935483871,0,11.0833333333333,2380.34047619048
"Canada","B04",8.04958509695718,3.93680303752606,22.5846774193548,3,6.91666666666667,2295.02380952381
"Canada","B05",8.0095770392628,5.90769878990124,28.3725806451613,3,1.41666666666667,2244.04761904762
"Canada","B06",5.44747725547225,3.58179723502304,24.5040322580645,48,32.3333333333333,1559.04761904762
"Canada","B07",7.38465733531084,10.1731973717791,40.3201612903226,23,12.75,2078.20238095238
"Canada","B08",5.73604825066171,5.45851053840487,30.1532258064516,12,81.4166666666667,1675.33333333333
"Canada","B09",4.17793935300887,1.99412093283061,19.6428571428571,29,50.6666666666667,1142.16666666667
"Canada","B10",4.58422660178778,2.92197041927298,22.8443548387097,9,74.5833333333333,1289.25
"Canada","B11",5.34925464320626,2.22652718990316,21.1964285714286,42,20.3333333333333,1502.85714285714
"Canada","B12",5.98216288099492,4.73223049660758,28.8217741935484,13,53.25,1719.41666666667
"Canada","B16",6.37212370808033,5.08549627050739,26.616935483871,35,2.75,1743.94047619048
"Canada","B17",6.50364925674992,4.51878939562477,26.1870967741935,41,8.5,1833.33333333333
"Canada","B18",6.922492564289,6.4285213488773,30.3838709677419,10,4.83333333333333,1934.92857142857
"Canada","B19",6.51249660918738,6.26662597691519,28.3064516129032,14,1.58333333333333,1775.83333333333
"Canada","B20",6.74649666857676,6.99979968122349,28.3678571428571,33,0,1860.21428571429
"Penouta","D01",6.71732720684334,4.50969997744191,27.4516129032258,114,0,2091.78571428571
"Penouta","D02",7.94971694971695,6.21208522660136,24.7903225806452,5,0.416666666666667,2305.90476190476
"Penouta","D03",7.33720047873274,4.24323499081564,21.4032258064516,0,0,2091.7380952381
"Penouta","D04",7.48570649780327,6.16091166897619,25.3709677419355,0,0,2136.54761904762
"Penouta","D05",6.83283687638526,6.65921685841041,27.6451612903226,6,0,1956.58095238095
"Penouta","D06",4.68894340426599,3.56063372111759,19.7977667493797,6,95.6666666666667,1412.2619047619
"Penouta","D07",4.55785133325456,4.23770181431472,20.1612903225806,11,118.25,1395.25
"Penouta","D08",4.34992959549411,2.09913393058554,16.2096774193548,65,26.25,1304.45238095238
"Penouta","D09",4.84758476290734,2.61699322183193,16.6290322580645,28,16.0833333333333,1410.07142857143
"Penouta","D10",4.30935525048428,3.06386785257753,19.0198511166253,2,76.4166666666667,1299.91666666667
"Penouta","D11",6.60096999774419,5.30961538461538,25.5576923076923,31,12.1666666666667,1975.59523809524
"Penouta","D12",7.98412908775812,7.55708216514668,31.258064516129,6,4.16666666666667,2341.52619047619
"Penouta","D13",8.08227059678673,6.52440409053312,29.4193548387097,5,0,2479.91666666667
"Penouta","D14",7.99670195396002,5.64562749078878,28.8064516129032,2,0,2419.2619047619
"Penouta","D15",6.45687269719528,6.63698344666087,28.6016483516484,8,0.333333333333333,1859.35714285714
"Penouta","D16",4.89223661643017,2.92221192785709,19.6935483870968,77,34.8333333333333,1505.97619047619
"Penouta","D17",5.78240795942409,5.65448127141676,24.6451612903226,45,17.3333333333333,1745.33333333333
"Penouta","D18",5.52524782565105,4.78415831480348,24.5682382133995,66,31.25,1692.2619047619
"Penouta","D19",4.8270882343463,2.69321216417991,16.9032258064516,56,5,1375.27380952381
"Penouta","D20",5.37421874720262,8.58563291547163,29.5967741935484,5,15.4166666666667,1560.38095238095
"Rabinalto","A01",8.00659274293868,8.04636657373031,30.5508064516129,7,2.41666666666667,2254.52380952381
"Rabinalto","A02",7.87993002085049,6.14214675758057,28.2258064516129,19,0,2190.85238095238
"Rabinalto","A03",7.91041782034552,8.89855756034844,33.45,20,0,2279.21428571429
"Rabinalto","A04",7.49666468434544,6.77742164213243,30.5725806451613,13,6,2106.66666666667
"Rabinalto","A05",7.24728291576178,4.65357768853319,23.2903225806452,14,9.41666666666667,2034.16666666667
"Rabinalto","A06",4.69920265743403,3.42076020012616,22.2653225806452,72,68.1666666666667,1360.21428571429
"Rabinalto","A07",3.40603588723722,2.26232502203025,17.1532258064516,60,76.8333333333333,962
"Rabinalto","A08",4.10533154121864,3.25056387809447,20.8709677419355,22,88.3333333333333,1173.5
"Rabinalto","A09",5.11251530881675,4.11120725770336,24.5483870967742,19,49.9166666666667,1466.5
"Rabinalto","A10",5.7072697417525,2.65878573595481,19.9838709677419,8,5.41666666666667,1631.53571428571
"Rabinalto","A11",7.73432774431106,7.8939708141321,33.1782258064516,28,4.5,2190.28571428571
"Rabinalto","A12",7.77936812909004,8.02436220620314,31.4362903225806,16,3.91666666666667,2176.75714285714
"Rabinalto","A13",7.40443137075506,8.73044099022964,31.0806451612903,21,4.5,2075.77380952381
"Rabinalto","A14",7.50079700147831,6.70721195749004,28.9032258064516,39,0.666666666666667,2092.66666666667
"Rabinalto","A15",6.91247285343503,6.79351600383302,28.1935483870968,54,5.25,1972.41666666667
"Rabinalto","A16",4.39801683608691,4.6668262956917,25.0604838709677,2,121.833333333333,1317.58333333333
"Rabinalto","A17",3.68219229478963,3.04266224135523,19.0346774193548,0,111.75,1055.33333333333
"Rabinalto","A18",3.37127464057386,2.17134237657041,17.5895161290323,3,107.5,959.083333333333
"Rabinalto","A19",3.83962808604077,2.6113898800495,17.733064516129,86,66.9166666666667,1095.36904761905
"Rabinalto","A20",4.72672706727212,5.97131504942962,27.9806451612903,12,108.166666666667,1396.25
"Solana","C01",6.78014570554893,5.99978892075666,27.6129032258065,19,18.8333333333333,2044.91666666667
"Solana","C02",7.48226231653651,5.94153883750658,27.7258064516129,5,3.5,2180.86904761905
"Solana","C03",7.15620365297785,4.7360029755191,24.5483870967742,35,0,2222.42857142857
"Solana","C05",7.79038909119554,6.60669894621507,28.2903225806452,1,0,2249.80238095238
"Solana","C06",6.84016628532758,5.27366665592472,23.9032258064516,15,3.75,1951.94047619048
"Solana","C08",5.01048624314753,4.60532988516859,24.5037220843672,63,39.25,1518.60714285714
"Solana","C09",5.46642036279133,4.44817736027413,22.758064516129,36,15.4166666666667,1633.25
"Solana","C10",5.22894511402576,3.91516467403564,19.9354838709677,37,5.58333333333333,1528.88095238095
"Solana","C11",7.11170164960488,7.91032784419881,31.6,145,0.166666666666667,2244.02380952381
"Solana","C12",6.57749463797851,7.23055492894203,32.1346153846154,143,0,2041.36904761905
"Solana","C13",7.01162081645953,8.78772866918028,34.1153846153846,62,0,2133.30952380952
"Solana","C14",7.7525983425177,9.02455313503701,32.7468982630273,7,0.25,2283.85714285714
"Solana","C15",7.41804454506067,10.8043765374411,34.3548387096774,11,2.33333333333333,2133.96428571429
"Solana","C16",5.58442923563891,4.42987120406475,23.5645161290323,6,18.5833333333333,1671.40476190476
"Solana","C17",6.3946020377472,9.85338586145038,33.4838709677419,9,8.41666666666667,1865.46428571429
"Solana","C18",6.3902585765489,6.67656590721107,28.9516129032258,20,7,1896.90476190476
"Solana","C19",5.50958884305659,4.51065977033719,22.6935483870968,8,8.41666666666667,1595.75
"Solana","C20",6.46500211258276,7.50877885555305,27.9516129032258,16,6.25,1869.46428571429
