,Site,ID,Year,July_minBWP_date,July_maxBWP_date,time_diff_july (hours)
1,Canada,B00,2021,04/08/2021 2:00,04/08/2021 1:00,1
2,Canada,B07,2022,06/07/2022 1:00,06/07/2022 1:00,0
3,Canada,B07,2023,01/07/2023,01/07/2023,0
4,Canada,B10,2022,06/07/2022 1:00,06/07/2022 1:00,0
5,Canada,B10,2023,01/07/2023,01/07/2023,0
7,Penouta,D00,2021,01/07/2021,01/07/2021,0
8,Penouta,D00,2022,05/07/2022 17:00,05/07/2022 17:00,0
9,Penouta,D00,2023,01/07/2023,01/07/2023,0
10,Penouta,D10,2022,20/09/2022 13:00,20/09/2022 13:00,0
11,Penouta,D10,2023,01/07/2023,01/07/2023,0
12,Penouta,D12,2022,04/07/2022 18:00,04/07/2022 17:00,1
13,Penouta,D12,2023,19/08/2023 7:00,19/08/2023 7:00,0
14,Rabinalto,A00,2021,04/08/2021 1:00,04/08/2021 1:00,0
15,Rabinalto,A00,2022,01/07/2022,01/07/2022,0
16,Rabinalto,A00,2023,01/07/2023,01/07/2023,0
17,Rabinalto,A01,2023,01/07/2023,01/07/2023,0
18,Rabinalto,A18,2022,06/07/2022 18:00,06/07/2022 17:00,1
19,Solana,C00,2021,01/07/2021,01/07/2021,0
20,Solana,C00,2022,01/07/2022,01/07/2022,0
21,Solana,C00,2023,01/07/2023,01/07/2023,0
22,Solana,C08,2022,07/07/2022 17:00,07/07/2022 16:00,1
23,Solana,C08,2023,01/07/2023,01/07/2023,0
24,Solana,C15,2022,07/07/2022 21:00,07/07/2022 19:00,2
25,Solana,C15,2023,01/07/2023,01/07/2023,0
